Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N037285,3563,1617,599,0,199,413,270,264,216
N037379,2884,1646,1701,1,352,454,324,156,227
N037380,6601,311,1,0,146,9,1,203,106
N037430,2772,1389,1145,1,134,5,621,30,176
N037519,3926,2474,544,0,332,344,355,73,205
N037546,4563,1458,197,0,425,455,89,410,136
N037611,2026,1941,908,510,419,406,416,375,205
N037616,5616,289,695,0,51,333,73,815,177
N037636,2873,1538,443,945,1010,26,867,118,81
N037694,2895,987,340,672,405,332,618,913,175
N037844,3155,1227,759,1,383,1463,274,416,216
N038073,5242,331,931,0,125,1324,156,0,184
N038159,775,517,353,5099,157,95,107,830,589
N038170,2103,2112,422,0,531,1220,111,439,343
N038188,477,3361,996,2487,139,5,1238,7,218
N038286,4162,1610,1714,0,268,19,133,92,517
N038360,4460,1020,824,0,523,172,341,200,0
N038396,2141,1668,2713,1,649,0,429,834,271
N038450,2295,900,1020,0,1029,1584,112,831,188
N038466,4041,1160,938,1,658,448,113,0,241
N038515,1260,3403,725,1196,271,3,1641,29,163
N038522,6676,722,1302,0,93,60,160,1,58
N038612,4887,1177,0,110,628,872,51,173,0
N038683,2970,1379,2624,2,797,117,217,125,607
N038737,1667,1523,895,729,332,431,410,261,316
N038748,120,3504,249,5434,107,7,68,20,26
N038765,811,1006,361,2087,68,263,135,93,39
N038820,645,3045,851,1848,404,122,195,223,109
N038905,2758,782,1815,0,251,716,635,205,448
N039116,2743,2812,244,0,2069,0,22,192,258
N039194,612,467,1004,4877,1224,173,112,13,422
N039362,1426,330,615,3136,2542,436,293,302,281
N039370,4759,1024,499,0,277,732,39,549,89
N039431,2703,1420,1393,0,523,1402,357,319,264
N039508,3347,1195,2608,0,555,182,275,48,225
N039640,4681,997,1307,0,212,172,76,280,589
N039685,5450,749,1866,0,416,248,120,1,12
N039700,3047,303,897,0,640,1945,359,463,40
N039751,3881,1218,1211,0,810,313,462,217,428
N039784,84,385,718,5521,353,93,83,18,101
N039814,2336,1270,3,0,616,2074,132,470,0
N039826,4870,1110,913,0,514,152,604,215,195
N039861,3034,1319,2179,9,192,1007,125,121,287
N039966,4729,2096,254,1,1181,639,0,88,1
N039995,2356,1959,854,0,263,81,875,358,399
N040013,5273,1173,1688,2,472,346,108,107,104
N040039,3915,1232,781,0,764,158,320,522,150
N040059,2987,937,1666,0,600,1296,120,252,11
N040080,1077,222,222,5532,75,94,147,48,26
N040300,3743,962,1117,0,367,495,439,399,0
N040335,313,5954,998,131,81,71,334,87,249
N040544,4319,707,2500,1,420,718,125,527,77
N040588,3735,1350,1601,1,373,41,466,279,298
N040598,853,1411,1781,1211,487,1296,217,118,12
N040768,3233,1151,1068,0,538,807,583,174,507
N040781,2573,1671,3062,4,228,40,1092,95,156
N040975,4623,803,622,0,571,63,196,564,386
N040979,3233,972,1012,0,1816,0,522,112,340
N040991,1382,528,47,4419,229,65,174,259,0
N041101,3426,461,1624,3,655,2514,57,0,131
N041216,4512,434,100,1523,245,119,39,196,40
N041338,5705,881,0,0,32,194,0,569,0
N041388,3365,461,99,0,916,1676,36,944,0
N041506,3754,739,1203,0,261,479,566,392,459
N041509,7190,390,226,0,137,321,98,257,35
N041546,2659,647,895,0,2510,251,227,979,106
N041554,1161,929,764,4268,395,438,58,301,185
N041588,4488,1049,215,1,358,1058,528,303,66
N041614,2228,1304,642,2602,119,9,539,154,153
N041651,153,4865,1776,373,161,0,28,47,244
N041826,3022,2017,998,0,944,39,632,68,658
N041864,3139,395,803,1,75,1218,0,599,0
N041981,7619,349,4,1,148,115,130,547,9
N042105,1957,2475,1406,2,360,722,456,73,415
N042119,4658,1150,298,1,643,756,275,368,107
N042145,1560,1229,758,3364,410,379,196,159,2
N042152,4380,463,1033,0,310,1885,113,240,0
N042188,6948,945,1,0,301,2,0,250,66
N042217,4576,899,955,0,415,910,196,693,0
N042249,3016,3346,202,9,79,77,12,465,182
N042279,432,1420,422,5,567,2849,351,162,119
N042359,1784,1752,1334,1,166,374,359,914,269
N042500,5000,1289,1472,0,238,529,218,92,178
N042567,1630,1155,1385,3484,221,5,367,217,90
N042590,2942,926,380,1,863,5,918,99,61
N042681,3128,286,216,0,264,2095,470,0,418
N042683,1536,879,959,3492,123,172,214,149,205
N042699,2,267,3757,53,824,1351,261,0,1
N042735,4600,957,1447,0,391,238,895,669,36
N042764,5215,1213,0,1,672,590,0,180,0
N042777,2729,1228,343,3,793,1260,3,630,201
N042952,4351,979,1159,0,236,812,238,197,199
N042981,3439,790,381,2,208,386,175,457,88
N043084,4865,751,1626,7,61,647,248,131,79
N043089,3849,1249,876,1,433,190,249,526,600
N043250,5068,1199,534,0,143,300,37,202,369
N043324,2350,832,60,0,3304,23,41,312,1166
N043352,5126,1139,514,0,297,5,382,121,9
N043494,2284,495,802,0,435,1371,373,64,0
N043497,7243,939,0,0,651,8,36,92,0
N043515,5193,646,1750,0,873,2,218,0,218
N043620,3474,1299,688,0,582,255,890,213,23
N043702,2635,2113,473,1,325,903,0,955,0
N043727,4071,589,86,0,207,815,196,98,1067
N043730,2135,2053,3293,0,204,447,494,0,160
N043760,2866,1659,2333,0,380,36,310,46,276
N043841,1996,1115,641,2534,330,65,320,199,121
N043879,1776,845,767,3268,615,128,440,278,73
N043952,1396,2084,1306,1828,140,0,106,115,120
N044010,1477,1729,1748,369,542,809,356,115,404
N044086,1410,2534,245,68,790,1440,21,179,185
N044110,2087,1112,513,0,726,1407,30,143,0
N044126,1478,999,458,541,1348,15,117,190,47
N044302,3559,783,93,0,678,16,153,262,10
N044370,4135,1422,3,0,555,23,1055,560,0
N044484,2425,391,334,1068,307,59,205,1052,343
N044517,3828,947,1555,4,752,56,332,0,969
N044651,3255,2401,1281,0,494,330,0,232,1
N044661,3430,2117,0,0,1288,572,1,288,0
N044882,3176,1252,695,3,712,456,268,72,567
N044914,1756,1245,1695,0,1840,648,1109,0,8
N044938,1925,544,1976,0,150,2475,596,211,297
N044953,2610,494,2,0,208,5591,0,96,13
N045014,1051,2916,200,2153,175,244,163,292,502
N045033,4190,1212,507,0,477,194,308,259,342
N045184,1284,2942,551,963,391,40,187,270,193
N045217,2619,1894,759,6,385,401,355,254,1065
N045309,1691,1090,618,3732,232,69,121,107,564
N045325,2272,2462,941,254,192,90,432,223,223
N045463,2090,2933,1479,827,589,22,326,59,112
N045473,3074,2263,751,2,197,1730,4,168,114
N045480,1502,688,546,4610,476,16,52,45,30
N045577,4564,760,155,0,363,283,379,537,121
N045716,5164,1007,254,0,677,574,422,353,95
N045808,831,2328,1195,954,328,878,78,101,264
N045843,1581,2369,2747,0,538,65,570,29,552
N045862,4074,1489,790,2,399,735,184,319,37
N045939,2953,1875,199,0,1167,0,742,0,409
N045948,2354,998,976,0,385,168,72,1006,79
N046004,2521,1256,117,0,679,20,88,32,0
N046036,1194,2918,1421,1,243,323,115,72,197
N046050,3866,977,1704,0,1066,22,9,306,136
N046076,337,1600,2162,4532,58,2,135,84,46
N046103,3975,1178,1978,0,300,499,63,172,252
N046177,4249,758,158,2,528,1076,144,422,33
N046190,4026,2244,806,0,1322,13,171,1,19
N046258,2520,942,1019,1506,192,104,330,1146,370
N046321,187,271,8,4763,0,324,0,19,103
N046344,5252,427,333,427,1419,332,408,0,313
N046445,2079,1396,904,0,620,85,255,79,549
N046528,1602,1141,1249,0,948,261,456,86,355
N046567,1298,1672,628,3074,657,7,493,43,0
N046599,228,2540,1124,4237,56,9,211,128,187
N046670,1128,3374,1729,0,629,115,466,191,305
N046731,6440,563,0,0,96,4,18,288,3
N046733,988,871,2105,0,1787,846,1245,0,0
N046780,1921,1229,834,0,294,1370,330,91,298
N046790,4549,1006,1193,0,137,316,257,207,113
N046902,5675,746,512,1,688,233,0,291,4
N046936,814,1273,1914,4097,108,399,242,15,53
N047117,3956,2219,65,10,51,529,225,53,204
N047144,1577,1428,4233,0,127,186,104,0,264
N047317,110,303,1,5909,71,0,3,17,8
N047356,5732,394,863,0,237,92,520,246,745
N047388,1978,2756,1345,27,297,143,96,729,22
N047452,4950,592,765,2,159,110,6,670,479
N047579,4172,547,503,0,437,758,478,760,336
N047592,4247,662,1741,0,477,115,89,110,0
N047660,5177,567,71,0,676,638,46,104,16
N047682,2337,2440,641,1,328,501,292,221,393
N048014,2198,1160,691,0,698,667,590,229,1035
N048082,4524,1280,1288,0,763,455,101,220,109
N048143,1934,1244,1411,0,525,138,358,26,1284
N048240,4927,1927,0,1,385,0,52,33,0
N048375,1899,1021,849,0,1444,651,152,70,90
N048408,2377,3177,202,0,1106,350,166,347,88
N048429,320,318,625,5394,135,373,237,733,127
N048506,4120,1396,0,0,71,280,0,713,0
N048542,2557,221,754,6,2285,2756,44,0,722
N048575,1035,690,422,3243,701,240,188,22,14
N048684,2332,2778,1323,0,317,206,661,211,269
N048710,1959,1181,33,0,312,0,24,0,28
N048815,4663,1275,687,0,998,1,154,82,232
N048818,4517,840,599,0,278,212,355,170,24
N048838,1799,3798,772,0,294,244,111,254,166
N048973,5104,505,713,1,1050,485,224,430,19
N049068,190,1122,740,4838,369,591,252,37,131
N049156,4801,478,0,0,384,6,80,257,0
N049257,6218,549,882,0,296,33,365,85,158
N049326,1225,1005,1358,3810,472,96,220,66,69
N049473,1213,2841,1069,329,225,490,60,624,290
N049589,1493,3255,1584,1,86,211,365,169,150
N049636,4370,672,723,2151,73,25,82,51,15
N049685,3546,1400,827,107,568,371,174,381,276
N049733,614,1252,304,4009,215,17,275,353,50
N049737,2260,412,353,4,120,5578,218,0,12
N049741,6819,460,463,0,189,171,24,306,339
N049764,2906,549,1241,50,976,1980,174,524,513
N049874,2942,1538,1993,1,478,335,720,0,365
N049975,801,1225,1,0,2198,16,1451,67,0
N050068,2079,1071,2101,0,819,1505,21,282,29
N050197,3563,1972,901,2,387,198,321,500,423
N050216,2225,2175,1113,1823,386,9,63,551,39
N050274,473,3512,3870,41,309,21,41,83,205
N050300,5163,395,44,0,160,45,192,281,44
N050458,4668,1766,1002,0,552,71,559,16,2
N050719,3741,1069,761,2,210,161,547,645,121
N050774,509,1324,2493,3367,109,168,523,158,71
N050785,3004,1055,852,0,1018,1036,443,373,208
N050831,4184,962,3,110,465,2007,267,0,0
N050938,3084,1606,818,2,1476,498,0,0,0
N051020,6089,369,649,1,71,93,590,353,0
N051030,4310,1469,1326,0,403,0,435,300,321
N051056,4101,1009,316,0,623,490,328,70,298
N051085,3538,1002,945,0,1002,1166,236,33,190
N051089,5382,713,950,0,163,551,87,884,397
N051111,2215,637,0,0,749,181,0,130,0
N051148,4112,1385,189,0,685,30,71,713,19
N051190,782,1579,1286,3705,420,202,76,109,159
N051197,3578,1437,177,0,648,643,456,237,123
N051207,6064,1545,1,0,414,143,88,488,0
N051286,5823,263,29,1,82,549,3,469,0
N051377,1978,1463,1216,7,564,1574,367,20,279
N051474,271,663,1766,3783,236,110,659,323,171
N051551,4522,1175,95,1,150,164,335,395,13
N051668,4813,226,1,0,1138,771,0,724,227
N051719,2324,2260,1493,0,1035,994,274,162,240
N051776,2094,1808,2,0,635,22,0,108,0
N051783,3117,1530,693,0,517,393,6,357,281
N051788,1264,3284,1379,0,357,116,618,117,680
N051967,1357,614,393,2970,131,365,54,470,145
N052001,811,1443,780,2959,419,50,234,316,176
N052060,2909,1032,774,1,697,368,720,395,313
N052065,5588,193,7,1,66,890,1,2159,18
N052082,5427,1609,650,0,53,216,602,162,53
N052091,6972,380,30,0,256,30,145,114,7
N052174,3925,2018,7,1,1493,153,15,0,0
N052238,4310,1575,946,2,427,90,434,508,179
N052337,4249,820,1392,0,543,437,107,0,547
N052439,5774,1136,0,0,1349,221,91,0,84
N052442,3130,790,889,0,1297,0,808,0,163
N052505,4268,943,0,0,376,813,719,543,293
N052668,2992,1271,712,0,945,276,774,431,394
N052680,4801,1176,152,1,174,996,4,381,582
N052792,5295,1472,83,1,847,258,0,832,0
N052839,2909,1359,1078,0,1262,1,431,555,130
N052883,3444,1021,501,0,2168,434,33,0,18
N052945,4378,365,26,0,313,221,810,1069,0
N052946,4810,1059,154,1,539,5,513,240,61
N053001,888,1923,925,649,676,477,111,521,614
N053010,2846,1295,1256,0,107,232,363,48,180
N053117,1745,1440,1007,0,706,259,514,117,546
N053127,699,4741,812,246,115,21,255,213,107
N053159,3758,1272,1724,0,610,322,923,0,0
N053212,2710,1553,990,1,358,490,607,75,272
N053235,356,2247,608,2299,494,17,78,203,170
N053245,4784,776,185,0,525,868,104,475,44
N053355,5945,486,1,0,69,187,101,541,0
N053417,3789,2055,1144,229,109,43,268,307,438
N053550,4813,266,34,0,519,2593,37,0,0
N053578,4814,562,48,36,451,900,387,644,44
N053709,3440,1442,713,0,718,731,413,249,682
N053722,3690,363,967,0,1256,668,1209,185,271
N053817,2167,689,1,4,628,2736,101,270,136
N053940,4673,1081,1093,2,220,279,206,324,263
N054035,1740,1460,680,1415,222,32,483,19,359
N054036,4730,636,3,2,2013,202,1,1060,0
N054086,1029,1463,693,2505,542,1570,138,148,192
N054262,3284,886,1393,4,1335,428,410,194,537
N054299,4768,2973,8,1,175,47,243,155,299
N054305,1071,4551,230,172,111,431,111,99,456
N054468,2121,978,508,0,790,273,557,438,212
N054476,3217,1823,1723,0,135,390,674,35,165
N054478,1679,2167,761,2530,289,44,380,424,145
N054496,3133,1041,1077,0,1082,161,509,2,181
N054535,4176,1247,0,2,1944,1709,0,248,0
N054544,4363,1260,1113,1,168,253,848,95,209
N054623,2473,1940,739,3,268,560,393,385,532
N054747,5043,1242,397,1,1058,0,340,135,247
N054824,2877,973,1168,1057,650,626,117,202,161
N055003,2881,2077,444,4,268,52,554,1044,236
N055026,2250,736,4,2,276,3993,656,0,1
N055062,2513,1015,1290,0,1067,478,583,216,0
N055165,949,688,170,3235,99,101,93,371,36
N055170,5348,703,44,0,261,114,195,618,61
N055194,4401,1086,683,917,781,23,621,62,187
N055207,3056,1023,682,372,479,309,235,239,439
N055319,6144,363,355,0,320,190,0,889,157
N055370,2136,1738,1630,0,356,368,1264,410,22
N055393,3211,1503,1465,0,482,681,299,66,164
N055433,3262,1803,522,0,241,299,86,316,289
N055491,1237,1993,134,3481,304,0,49,169,4
N055599,3779,615,248,0,47,434,1765,245,905
N055613,3927,1147,579,1,320,257,184,776,159
N055632,5662,1122,360,0,643,140,24,193,59
N055833,775,3749,396,2234,101,28,257,244,19
N055847,1733,461,357,0,683,3447,167,0,0
N055977,5611,791,1077,0,363,190,258,34,51
N056037,1479,250,315,4978,192,111,5,40,57
N056065,3393,824,869,2,1027,748,258,414,155
N056286,564,1337,30,0,785,1214,119,0,0
N056322,5268,999,1499,3,237,98,790,57,1
N056369,4741,1053,329,7,1341,315,0,534,314
N056381,1322,778,1211,4694,137,55,66,190,83
N056382,973,933,1498,3753,267,15,58,219,40
N056390,267,167,129,0,135,4676,19,41,76
N056433,207,354,291,7524,417,16,50,6,34
N056452,1424,3522,1208,0,131,137,475,102,416
N056643,4548,1394,574,0,345,172,197,129,187
N056686,3940,576,944,1,106,539,157,1668,6
N056902,3421,1842,1034,0,147,73,713,203,30
N056955,3974,1667,1858,0,327,238,443,0,73
N057130,1559,2388,172,4056,230,109,229,59,41
N057149,2585,966,181,0,557,343,1,89,0
N057182,4032,788,2,1,521,1147,373,313,0
N057234,2191,1420,2,0,1411,181,110,575,121
N057245,2013,692,1673,0,1029,569,338,1939,368
N057354,4400,3442,4,0,1531,2,0,2,0
N057387,5846,935,713,0,335,1,375,115,51
N057389,3896,592,0,1,2222,409,4,381,0
N057420,1464,2060,1548,3,575,449,654,193,50
N057452,2271,2709,269,0,1258,244,16,391,100
N057518,4305,1400,2195,0,872,1,87,0,0
N057538,5351,534,1649,0,64,232,34,136,6
N057549,1918,401,77,1149,1335,26,329,117,0
N057711,1475,1268,927,1,1397,605,1242,243,505
N057712,2175,415,373,0,485,4233,432,417,0
N057717,3513,526,1014,0,1148,463,281,342,301
N057739,3637,1048,0,1,391,603,683,178,266
N057781,2294,743,643,1,669,2207,63,0,590
N057849,1966,1077,835,3039,265,677,219,212,178
N057896,1019,3489,1700,894,145,70,208,151,309
N057948,2750,1039,1189,0,354,164,750,0,186
N058292,5320,1202,758,1,262,150,46,694,243
N058315,689,552,1121,4197,392,163,128,68,1115
N058324,1780,1356,1038,2092,364,0,641,136,204
N058341,2961,1473,1358,0,426,438,1156,564,13
N058464,861,778,637,5408,498,82,111,91,156
N058699,2228,538,951,1,1531,346,410,137,0
N058708,696,1419,1243,3927,477,301,246,1,411
N058718,4617,1565,0,0,4,5,2,0,0
N058723,4433,830,1555,0,301,691,536,145,0
N058726,1643,1099,646,0,1667,605,1781,42,803
N058827,6456,232,664,0,56,1102,161,190,7
N058830,3090,2143,371,0,1060,737,204,33,296
N058936,3351,585,2791,0,198,260,215,450,1
N058943,1367,3912,2127,652,138,57,126,124,68
N059030,1493,416,242,12,232,3112,5,82,85
N059061,4911,820,308,1,473,360,877,46,19
N059120,3293,629,437,0,618,2707,618,36,237
N059277,2230,1665,2343,0,320,284,418,111,973
N059336,202,949,1519,4675,356,12,213,4,96
N059363,2838,965,1483,0,628,966,526,0,419
N059374,5612,1632,705,6,208,11,129,59,143
N059424,2312,1972,727,0,858,203,639,489,168
N059426,2676,1736,4,0,629,1040,30,656,215
N059478,4053,1629,927,1,494,688,131,185,0
N059481,4980,772,1442,1,1477,101,366,0,0
N059541,5283,442,1282,1,179,927,12,309,117
N059576,5099,759,373,2,802,352,304,278,315
N059626,951,1725,609,3243,355,6,306,82,144
N059670,625,3315,2188,281,855,111,225,50,168
N059789,3769,1953,881,1,346,0,1043,224,689
N059966,83,2332,3499,66,193,0,349,14,151
N059974,4082,1858,373,0,1082,560,384,0,1
N059978,4050,378,0,0,171,2193,0,668,0
N060173,4195,1117,0,0,976,389,517,9,12
N060195,1474,3001,2262,2,189,616,911,46,297
N060217,3698,745,483,0,460,133,934,361,406
N060230,6285,788,80,0,328,271,91,42,43
N060275,3239,2225,2334,0,435,8,110,19,2
N060282,5491,584,2138,0,322,1,0,322,0
N060412,1135,2180,7,12,71,2578,24,910,52
N060430,3428,581,82,1,99,833,18,178,109
N060482,3584,980,987,1,443,140,722,731,530
N060527,1355,2484,273,2,677,1689,116,57,778
N060558,2578,1082,1163,0,1773,1051,319,191,1075
N060746,69,365,208,5336,68,238,16,26,66
N060779,4127,926,343,1,827,771,223,241,211
N060843,3572,1826,281,0,1193,382,495,177,215
N060985,2604,2856,719,0,542,193,193,123,344
N061132,4343,1072,1164,1,189,362,287,292,288
N061175,5270,1165,457,1,281,534,331,215,135
N061180,931,1488,394,4307,199,40,90,73,45
N061347,1170,314,132,7007,333,312,61,96,21
N061369,3115,754,537,2,494,1004,123,126,635
N061699,4924,1136,819,0,702,66,289,187,71
N061730,2986,2345,636,0,286,151,424,364,911
N061835,5421,892,355,1,464,143,122,821,144
N061886,482,3200,671,2330,53,469,159,127,194
N061933,4431,1307,3276,0,92,355,6,107,4
N061952,5811,1079,360,0,615,307,48,292,102
N061982,3074,1434,1,2,1960,146,1261,499,367
N062067,2420,2245,1395,763,271,30,185,83,175
N062139,2818,1351,1392,1,79,38,269,273,109
N062203,3288,1612,621,0,184,21,68,264,212
N062262,2214,2192,976,2,824,15,368,0,0
N062336,557,4637,206,0,140,10,142,76,324
N062409,5389,764,52,0,194,107,191,700,2
N062426,3817,531,3,1,137,56,104,911,0
N062650,4875,868,753,0,756,372,433,252,180
N062756,2169,3819,214,1,495,88,216,1187,133
N062779,2505,1282,296,0,535,946,824,1,1
N062816,150,910,623,5590,103,420,509,25,25
N062834,1210,1053,637,0,1680,1502,832,5,141
N062915,4997,1004,1881,1,223,243,167,147,152
N062918,4888,551,10,1,1052,45,1036,441,511
N062922,3695,621,1138,1,263,635,575,823,513
N062938,4253,733,542,0,440,283,560,369,139
N062969,5744,1215,615,1,87,7,944,74,98
N063229,7625,459,2,1,217,742,129,0,80
N063293,5162,1359,167,0,762,6,303,201,220
N063414,913,601,1768,2166,676,933,95,75,344
N063421,2353,3312,606,24,1559,92,127,100,0
N063424,3425,1392,647,7,415,308,319,293,279
N063441,4472,1341,1998,0,98,262,90,43,219
N063574,4944,1352,362,0,349,7,464,143,0
N063665,3626,613,874,0,303,585,699,80,137
N063891,3869,1996,666,1,363,2,69,53,302
N063966,4196,1276,1006,0,185,173,930,165,172
N064010,8157,844,143,3,374,2,0,2,0
N064075,841,2658,172,0,2700,118,91,63,25
N064118,4466,1139,2093,0,263,33,824,86,20
N064167,1005,2303,975,4,80,22,259,31,499
N064181,5926,917,0,0,451,364,0,565,0
N064182,6335,650,51,0,242,1087,7,297,290
N064290,3125,2109,1095,35,263,91,68,174,293
N064312,3187,943,313,8,542,606,140,99,12
N064314,5619,1146,221,0,259,54,568,361,0
N064323,302,2384,1287,0,984,303,624,43,717
N064365,1519,1531,890,1833,151,224,409,80,59
N064423,3189,1214,12,4,95,1843,3,227,2
N064502,2832,1923,2298,1,64,11,1019,0,231
N064530,227,5494,698,1631,175,123,159,13,180
N064546,3571,1529,879,3,483,235,913,322,15
N064648,1964,2522,1,0,1117,245,772,118,1178
N064657,1425,2046,598,0,491,1037,161,130,328
N064659,6139,476,795,0,44,303,63,0,0
N064726,6529,329,865,15,451,81,0,440,53
N064750,2266,1701,337,1,1698,1158,134,29,92
N064845,5521,1062,1,0,294,96,1,0,101
N064902,2373,701,2361,0,312,1603,95,467,4
N064922,4175,1102,520,2,504,363,563,88,13
N065143,2480,2083,296,13,1368,6,45,67,140
N065196,1190,882,968,4482,34,79,99,249,259
N065299,2048,910,79,2770,556,217,290,173,1
N065559,3988,874,707,0,498,1028,693,60,105
N065571,859,2693,2676,0,199,385,344,779,198
N065606,3677,1354,630,71,902,262,217,0,78
N065668,1715,830,139,3394,231,999,21,382,222
N065692,1772,1752,727,0,568,707,157,202,396
N065780,1134,316,35,2,183,2995,0,118,0
N065838,2482,3300,210,1931,173,39,209,142,122
N065914,4616,1343,614,8,165,1585,305,0,301
N065959,2876,2104,1148,2689,145,118,60,64,45
N066036,4398,827,440,0,872,81,1,578,0
N066070,2986,853,103,984,356,2,135,368,6
N066260,524,1782,3801,1,744,3,342,88,1013
N066443,70,741,1082,6695,150,8,225,9,24
N066505,324,376,234,6724,180,55,76,203,216
N066576,5753,85,0,1,0,999,1,1274,0
N066625,2144,2755,458,2,805,988,983,72,237
N066702,5659,1301,159,0,221,6,105,0,29
N066733,3910,835,801,1,444,842,993,283,184
N066736,3511,1747,186,2,390,1534,40,241,323
N066852,3272,1485,2202,3,113,478,451,153,335
N066880,5807,977,153,3,181,188,325,496,2
N067116,2652,1621,1448,350,964,29,896,0,198
N067226,3684,1591,2906,0,105,348,170,52,1
N067241,385,1022,1497,0,202,1152,827,10,144
N067251,4060,1445,11,2,365,12,11,87,1293
N067297,3679,974,2853,0,119,194,1201,52,62
N067308,39,860,598,6674,189,4,218,8,49
N067345,1924,2215,2586,0,206,263,244,150,380
N067503,3933,599,1,0,244,579,2,119,0
N067533,4904,1272,388,3,1212,133,340,164,0
N067709,1341,3454,890,0,158,51,110,160,398
N067776,5111,1065,456,918,224,274,390,204,22
N067820,5257,1429,850,2,114,242,70,156,463
N067822,293,1475,1112,5010,267,14,200,47,249
N067938,535,6422,112,6,89,296,46,127,308
N067942,1944,1485,1385,0,2298,1250,3,123,0
N067950,4821,1433,2139,0,153,1,36,48,7
N067985,1309,2191,1440,0,1293,23,860,54,221
N068002,6200,1143,0,0,658,84,203,295,0
N068152,99,4374,1241,127,516,601,623,30,100
N068165,3394,1174,1442,1,551,1463,99,574,147
N068174,2828,1449,850,1,1607,726,423,465,153
N068315,2004,2674,1301,2,220,322,616,462,135
N068374,3607,1213,1907,0,433,157,110,215,465
N068411,1219,1413,1540,2121,499,287,496,119,609
N068599,45,639,503,0,377,459,121,3,97
N068681,233,404,347,0,535,6668,43,5,0
N068687,4371,703,1271,0,1537,440,0,358,390
N068965,2727,2172,1072,0,285,326,275,205,208
N068984,2350,3180,1247,0,218,50,286,381,158
N069111,2168,1889,543,1,220,1374,333,595,28
N069132,3153,1198,1004,0,329,27,961,544,187
N069355,3197,1637,696,0,424,0,235,0,51
N069400,5193,1404,717,0,525,708,61,234,118
N069525,850,822,247,0,592,4356,3,42,2
N069598,6494,762,626,0,332,0,72,355,226
N069687,2803,1165,1888,1,236,1211,445,149,120
N069803,618,864,3081,991,67,749,94,62,146
N069834,3501,1274,638,0,966,29,1549,91,195
N070028,3560,1265,1467,0,261,229,27,109,82
N070088,5962,708,0,3,44,665,0,1108,0
N070187,2158,2194,2521,1,203,30,472,86,406
N070248,815,437,51,4948,438,0,24,79,0
N070251,1802,2661,337,45,694,407,194,274,618
N070315,3164,286,254,2,322,2157,43,311,231
N070358,2102,1574,3974,60,108,8,128,60,280
N070494,4187,808,1359,0,510,778,374,225,6
N070504,4286,857,876,1,743,118,437,147,163
N070511,2888,1971,2242,4,285,9,146,138,736
N070525,4051,1598,618,2,122,15,901,93,105
N070644,1612,1993,350,0,304,939,46,134,245
N070699,1484,1133,370,5364,171,70,63,87,160
N070701,2398,623,940,2,1375,1209,64,499,676
N070794,3575,666,92,0,485,92,67,157,2
N070834,1003,1678,1373,378,367,1301,956,35,1198
N070860,2313,1769,2164,0,466,307,733,211,187
N070979,16,134,22,6703,191,0,431,0,173
N070988,5246,1197,1169,0,289,158,377,0,104
N071017,1490,1152,561,3786,938,157,213,127,126
N071049,4382,1677,407,0,737,279,2,467,64
N071077,4130,2482,580,0,409,33,104,126,213
N071100,4969,941,800,1,1129,267,1,365,481
N071227,4476,992,427,1,1130,270,317,50,18
N071267,3568,1298,453,0,821,673,142,77,269
N071277,4788,433,339,0,1262,627,54,126,194
N071364,2344,1638,927,1,770,261,599,140,589
N071446,1338,3207,254,1808,83,311,58,199,157
N071456,5762,948,1,0,708,78,760,0,16
N071491,4335,1757,0,1,895,877,0,1,0
N071636,919,1051,541,4732,240,218,305,159,153
N071803,5101,227,642,1812,388,17,60,241,373
N071807,5004,1144,618,0,1517,58,1,276,1
N072075,5529,705,944,0,329,4,618,104,0
N072179,6344,824,139,0,195,380,126,409,99
N072205,1655,3123,1560,2,133,516,249,272,664
N072311,3731,654,832,2,368,160,264,169,189
N072343,1587,2374,3345,188,311,2,781,87,166
N072481,2102,1570,1257,1125,482,525,450,284,227
N072494,735,2450,1241,611,311,1006,124,143,472
N072593,2933,906,347,2,1231,673,362,1234,138
N072601,947,1034,834,5054,431,1,201,61,137
N072609,3123,1642,486,1,1034,671,119,116,210
N072613,5033,1028,185,0,397,72,184,222,303
N072661,4008,1306,1183,3,157,190,99,121,254
N072703,3036,225,328,0,78,3156,7,328,359
N072723,4593,983,2,0,260,1453,46,575,575
N072803,6216,783,73,0,362,151,369,393,15
N072819,4687,1319,422,1,145,422,376,202,655
N072972,4366,353,698,1126,149,190,377,343,163
N073026,1567,3165,2284,0,459,2,156,201,198
N073043,3273,1650,1803,0,839,121,404,142,1
N073106,538,1177,2081,0,256,468,157,322,202
N073135,1069,1663,1205,3739,375,6,286,179,156
N073170,4664,1582,365,0,735,17,233,19,4
N073176,3677,890,501,3,356,1089,160,601,225
N073205,750,542,92,5244,279,16,102,261,1
N073376,5560,1085,4,0,169,45,122,2,0
N073470,2411,761,1,0,165,356,0,316,0
N073486,2191,1356,387,0,471,396,332,119,410
N073494,1827,1066,106,701,557,156,269,137,378
N073496,4125,1400,176,6,653,499,193,204,641
N073497,272,1588,0,0,372,4963,0,0,0
N073523,6789,432,473,1,218,247,5,248,1
N073651,5637,772,806,0,63,16,424,310,10
N073756,1467,2389,176,1,513,1339,270,282,319
N073759,3718,1389,1492,0,352,34,118,393,161
