Subject ID,Bacteroides,Unclassified,Faecalibacterium,Prevotella,Blautia,Bifidobacterium,Roseburia,Parabacteroides,Subdoligranulum
N009001,4733,768,0,1,903,2192,3,244,1
N009020,3312,654,1252,0,615,741,135,0,611
N009106,1371,3142,52,2,30,768,2,187,109
N009320,4126,4268,0,1,179,1,237,2,1
N009338,5680,384,253,2,983,451,305,0,207
N009381,4721,1072,94,0,265,405,730,1,87
N009571,225,1468,1218,5246,186,3,84,59,56
N009609,7612,335,393,0,258,169,124,219,16
N009709,3159,925,1114,1,604,1030,165,254,86
N009754,5307,978,544,1,1597,0,183,108,181
N009824,1138,2423,2323,35,158,59,95,420,46
N009923,5554,373,683,0,309,407,0,499,156
N009953,4265,871,548,0,1424,55,113,753,0
N010082,4276,1503,896,2,628,159,64,69,127
N010095,3570,1349,1195,2,267,898,422,137,3
N010121,5243,1356,0,0,905,0,0,353,0
N010146,4913,1834,45,0,1291,409,2,12,1
N010155,4550,1513,555,2,165,11,815,223,178
N010235,3733,456,1018,1,229,1615,302,516,297
N010273,5252,637,223,11,280,139,75,200,132
N010345,5705,880,644,1,372,290,133,112,439
N010391,2926,1505,1648,0,513,470,379,132,395
N010512,5367,1486,626,0,374,189,111,197,0
N010548,1526,1071,249,1156,350,1500,157,517,400
N010647,2846,3551,570,4,427,365,40,43,1
N010649,4884,601,590,3,533,247,39,324,0
N010737,3592,983,857,0,260,434,370,138,414
N010766,184,1080,451,4330,595,45,295,232,165
N010957,473,3010,1352,1312,711,69,341,153,314
N011015,3499,1673,806,0,782,41,40,655,692
N011068,4031,1705,1303,2,644,170,6,210,246
N011145,1718,1481,2675,0,514,4,608,75,206
N011163,5188,2455,40,0,577,14,88,11,0
N011329,988,556,75,2964,329,1431,146,92,0
N011369,2797,802,40,1224,717,753,60,647,68
N011370,2696,2145,841,2,646,44,367,1118,324
N011390,127,120,119,8475,45,1,5,56,1
N011498,2350,1679,1465,0,608,310,328,25,80
N011557,4134,1261,1346,1,416,55,187,43,317
N011601,914,594,2221,0,179,3623,192,38,233
N011676,1197,2054,62,852,336,244,956,40,39
N011679,564,1269,410,0,1041,1399,5,0,135
N011702,4059,1539,419,4,1067,1,526,168,269
N011733,3284,633,2020,1,568,776,199,79,148
N011797,2268,2974,1989,4,271,3,605,80,119
N011871,4506,717,648,0,307,249,1105,155,120
N011904,3895,862,503,1,339,178,337,511,180
N011971,2133,1298,445,3,929,959,1237,68,148
N012035,4271,1542,545,0,938,43,344,69,68
N012049,5497,1304,356,0,452,17,31,412,248
N012119,906,1906,908,7,539,3262,497,88,358
N012180,1383,1282,1001,1,657,1477,760,31,735
N012217,2146,2203,725,2,383,1986,19,78,52
N012255,54,1254,70,4761,145,167,218,8,43
N012257,4130,739,1423,1,410,184,990,177,205
N012432,6043,736,1123,0,209,45,359,90,175
N012482,1985,2619,376,0,460,2,468,831,0
N012517,2931,928,2719,0,150,105,964,0,97
N012520,2298,3691,1608,1,61,295,33,84,190
N012615,6241,282,714,0,302,535,1,709,49
N012617,3749,1428,599,2,670,118,950,0,46
N012749,2507,2241,742,0,369,92,100,282,78
N012833,3750,883,1671,0,642,942,34,533,105
N012899,14,993,243,5426,48,3,194,6,30
N012904,2997,1252,1814,0,337,313,332,653,308
N013004,277,404,92,5123,174,67,45,103,36
N013097,617,496,41,5281,209,127,234,11,1
N013220,674,1066,1880,0,494,911,155,371,284
N013352,3381,295,2,0,266,2607,2,39,413
N013356,4640,1268,938,0,1219,39,0,0,1
N013588,3696,2131,1224,0,1154,119,0,441,150
N013647,3071,1414,376,7,113,1698,152,176,275
N013660,4936,1430,1959,1,364,6,186,114,88
N013679,841,3740,2292,608,486,1,368,106,355
N013752,2306,1141,851,1043,221,655,319,667,251
N013800,3363,822,332,931,342,595,134,142,201
N013834,4479,962,788,0,653,932,675,109,0
N014045,2770,1278,348,16,120,780,19,224,281
N014082,2024,1812,2127,0,173,18,2153,70,86
N014165,563,1228,70,270,149,2817,4,694,0
N014182,1950,706,19,4911,457,49,238,238,29
N014185,1607,1661,1093,1,1338,175,1595,112,146
N014251,3244,1103,1228,3,562,1122,472,194,343
N014440,1358,2066,807,0,1992,411,198,161,24
N014534,2024,904,14,3000,1962,312,37,141,0
N014567,2252,1483,1424,4,248,502,259,256,768
N014675,5089,889,734,0,390,11,186,445,61
N014833,2567,1321,478,2,1537,375,453,47,0
N014900,4258,1616,723,0,921,1142,4,0,14
N014908,7250,418,1,0,115,27,1,302,0
N014978,632,715,458,5080,360,9,148,89,7
N014991,945,720,705,1325,615,837,336,172,312
N015072,5193,417,0,2,999,266,559,866,39
N015094,4906,949,417,0,957,111,134,408,159
N015101,4572,387,42,0,239,290,780,616,205
N015119,3798,1183,407,0,1149,298,434,356,38
N015139,5627,748,86,0,693,3,381,322,1
N015179,4838,1828,671,1,251,696,27,111,0
N015182,87,1784,536,2639,2703,113,194,12,13
N015250,3532,729,482,1,592,531,164,535,69
N015329,7852,464,13,2,179,175,367,105,187
N015336,1068,582,909,3417,78,634,30,104,54
N015348,124,930,346,4505,246,219,73,175,82
N015449,903,397,1054,62,848,3137,1438,673,0
N015457,4668,1318,168,0,207,473,625,298,20
N015510,5322,940,702,0,1289,101,65,120,217
N015587,1119,1007,1351,0,1100,1152,276,29,296
N015616,5962,332,809,1,223,663,133,129,42
N015633,4438,943,1249,1,53,125,408,615,171
N015656,2963,358,1,0,195,1,6,73,0
N015667,3723,590,906,0,1023,348,201,1065,0
N015668,3522,697,238,0,1010,292,250,367,271
N015695,5360,1179,950,0,499,13,443,95,275
N015832,924,833,1276,0,632,2005,173,2,437
N015893,3439,994,693,1,1216,216,282,218,115
N015910,2148,1264,4511,2,102,13,333,3,206
N015927,1013,1382,871,0,484,293,177,2703,108
N015964,6827,1423,0,1,242,149,1,106,0
N016078,1795,3665,204,1,618,243,357,31,164
N016095,2247,523,1,1760,452,1763,317,301,0
N016231,2996,1348,333,14,268,411,805,64,1070
N016303,2110,992,2707,1,563,293,191,35,32
N016318,254,967,738,5053,266,249,410,55,122
N016341,1928,1669,113,1,801,380,641,47,31
N016363,3659,660,327,1,2138,1166,87,89,0
N016369,2296,2299,925,0,839,441,599,184,588
N016394,2271,1558,1516,0,384,1121,636,23,846
N016438,1851,1900,903,0,386,322,121,108,1166
N016576,3283,948,523,0,645,615,220,428,53
N016580,4843,1769,1573,0,166,110,441,186,339
N016583,2663,863,2162,0,1196,482,0,778,149
N016700,1692,898,1627,735,975,35,172,176,729
N016711,3938,459,656,1,324,387,1138,545,46
N016737,2617,2051,252,1,1663,768,124,1,47
N016739,3632,1266,730,0,311,245,1124,774,0
N016815,382,566,626,5306,730,333,230,13,265
N017070,5443,187,19,0,268,99,90,75,18
N017115,5287,1192,1048,0,1091,366,152,199,0
N017238,3733,2410,162,21,366,174,478,67,436
N017322,1344,3324,834,0,642,296,550,156,318
N017375,1328,1333,808,1923,267,231,229,315,274
N017381,3354,774,1933,0,59,39,442,0,104
N017425,3897,1836,905,0,264,176,293,165,178
N017481,6094,866,0,0,1032,83,1,738,0
N017741,3356,3203,386,0,639,258,296,320,97
N017772,3290,2192,616,1,917,194,8,107,0
N017776,2764,1043,889,1,704,101,13,1857,0
N017875,2494,1202,170,0,562,151,54,1485,1
N018011,1497,2023,511,0,300,706,17,502,452
N018050,3354,743,0,1,183,444,15,43,18
N018096,850,1320,596,2964,442,244,115,132,746
N018103,3634,1248,663,0,1827,212,363,276,205
N018148,1858,2101,1866,2128,390,1,162,50,143
N018282,380,3888,1032,1201,243,43,346,464,269
N018457,1353,1261,405,1,1418,2462,299,50,205
N018473,5504,1690,547,0,649,0,517,74,61
N018491,2864,3740,151,2,728,51,17,34,458
N018495,1624,2596,566,1,2667,280,135,97,188
N018557,2784,1398,632,1160,408,127,377,199,114
N018560,269,2332,80,4353,959,0,108,40,52
N018565,3528,792,0,0,145,329,53,179,0
N018580,3861,1097,303,0,553,1469,580,180,196
N018586,414,2035,2827,0,933,89,1312,22,499
N018588,6,38,1,8397,11,38,0,2,5
N018616,4269,1032,1430,35,346,190,330,92,436
N018781,4132,1796,379,0,449,380,465,179,176
N018784,247,1454,543,4543,164,65,357,45,53
N018804,1577,4959,1506,0,571,0,223,53,70
N018972,3006,1894,2786,2,155,247,239,46,472
N019128,280,1392,396,5498,312,10,468,91,54
N019229,6187,413,632,0,134,680,0,0,199
N019258,5887,722,39,2,658,115,478,120,80
N019431,3601,1007,1254,0,142,32,321,235,101
N019433,4058,2137,1065,4,204,3,265,125,61
N019492,2702,1076,519,0,159,1439,392,450,123
N019700,1104,1451,609,841,504,1101,188,276,304
N019839,5434,414,11,0,362,268,45,462,18
N019859,2954,1500,1315,352,288,233,356,112,750
N019891,1733,2927,736,1307,460,2,474,45,208
N019929,2866,2018,1405,0,680,1297,231,107,123
N020001,4237,1065,488,1,689,92,338,178,222
N020074,1031,1233,561,4313,486,71,368,135,210
N020171,768,2256,611,3542,136,14,299,63,244
N020277,3143,915,470,0,432,3348,0,148,417
N020337,1205,2598,1031,0,697,545,91,233,490
N020393,2228,1542,950,1,1452,51,266,0,644
N020452,2940,783,2856,0,603,539,71,19,873
N020466,2577,742,0,4232,371,14,0,259,1
N020467,3749,1818,2159,2,543,1,226,72,132
N020582,4083,1082,148,0,609,1022,955,54,267
N020589,2585,2013,381,0,89,883,5,267,388
N020596,4928,768,1807,0,365,110,301,443,57
N020632,1487,1540,1041,2224,309,24,432,288,269
N020687,490,874,1709,1290,114,268,162,84,191
N020811,3919,601,1026,2,285,64,469,95,120
N020828,4924,1502,835,0,847,214,369,126,153
N020839,414,423,336,6408,247,691,37,14,110
N020974,5344,1209,0,1,822,4,0,902,0
N021032,1926,4125,518,0,127,180,638,196,142
N021047,2052,1990,796,0,118,2,1182,153,49
N021098,713,919,1286,4752,182,564,85,38,47
N021262,5950,1245,284,0,351,1,1,228,260
N021327,2129,1236,1882,1,666,174,411,59,336
N021328,3931,676,141,0,789,1138,527,0,0
N021357,7569,727,186,0,475,17,72,185,97
N021436,905,1765,1160,0,1362,1880,439,72,319
N021574,810,1270,607,1989,634,742,0,0,1
N021753,5385,1148,100,0,329,432,376,1,3
N021808,1952,560,2099,1976,219,105,138,311,139
N021838,4235,678,82,476,344,40,150,286,17
N022059,4318,416,8,5,494,538,92,615,0
N022066,5962,491,403,0,485,460,176,169,220
N022127,1728,2547,2031,0,112,34,204,122,47
N022145,289,6121,1208,12,116,64,261,288,120
N022170,1748,1356,840,2169,220,19,94,149,931
N022201,3286,671,234,28,84,3,1719,53,52
N022274,1174,1207,1470,2673,323,4,412,274,15
N022289,2501,839,807,0,533,1558,144,2,447
N022370,4199,1874,1190,0,309,83,342,209,186
N022431,2839,1952,1024,1,139,105,896,171,810
